h 	 pve 	 rho 	 pge 	 pi 	 n_gamma
7.538997e-01	5.337969e-01	4.465835e-01	2.581879e-01	1.635795e-02	16	
3.137925e-02	1.815654e-02	2.383329e-01	5.269137e-02	3.333918e-02	43	
7.732375e-01	5.945981e-01	3.605542e-01	9.810437e-02	3.557389e-02	47	
7.317188e-01	6.776179e-01	8.059464e-03	4.848365e-03	4.656007e-02	59	
3.935720e-02	2.022392e-02	8.189301e-01	7.737813e-01	5.816246e-02	77	
3.116697e-01	2.757405e-01	2.455328e-01	8.235171e-02	4.931160e-02	73	
8.520542e-01	2.776723e-01	9.883819e-01	8.016976e-01	5.367283e-02	68	
4.554076e-01	3.132369e-01	3.473490e-01	6.235078e-02	6.476277e-02	82	
1.160645e-01	5.631663e-02	6.563521e-01	3.133310e-01	5.424594e-02	77	
4.204624e-01	2.484660e-01	2.941596e-01	8.193814e-02	4.333835e-02	55	
3.602555e-01	1.694905e-01	6.343373e-01	1.840587e-01	4.643726e-02	61	
9.683657e-01	9.267772e-01	5.261314e-01	2.296641e-01	3.289758e-02	53	
9.011552e-04	7.672833e-04	5.035591e-01	1.340866e-01	5.154516e-02	68	
3.693973e-01	3.070422e-01	2.778314e-01	7.582393e-02	6.049867e-02	76	
3.916908e-01	3.922454e-01	4.076969e-01	2.356328e-01	6.268735e-02	73	
2.456293e-02	1.041702e-02	7.190044e-01	3.334098e-01	5.903719e-02	82	
3.527898e-03	1.476073e-03	6.292110e-01	2.972940e-01	6.440206e-02	76	
5.751222e-01	4.882346e-01	5.424636e-02	1.445285e-02	4.320904e-02	64	
2.998894e-01	1.528340e-01	8.020483e-01	3.197384e-01	2.992345e-02	38	
1.334384e-01	3.294476e-02	8.628765e-01	6.684019e-01	3.484189e-02	43	
1.606870e-01	1.014173e-01	1.465716e-01	4.661317e-02	3.307781e-02	39	
1.004322e-01	1.393935e-01	3.394891e-03	3.310045e-04	2.639625e-02	37	
3.067611e-01	2.435929e-01	8.565539e-02	1.127895e-02	3.070661e-02	39	
7.564629e-01	5.302667e-01	6.048907e-01	1.901453e-01	5.710473e-02	54	
1.879012e-01	8.435057e-02	4.426461e-01	1.294436e-01	4.889539e-02	57	
2.025131e-01	5.499419e-02	8.847645e-01	4.551673e-01	4.328516e-02	56	
7.840418e-02	7.863286e-02	2.168543e-01	5.159917e-02	4.475202e-02	47	
